"inSALMO cell data file, Clear Creek site Restoration 3A, 2008 data",,,,
Developed from USFWS data,"From Jason White, 11/15/2012",,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1087,1,1.334,0,I
1088,0,1.243,0,I
1089,0,2.26,0,I
1090,0.316,1.5,0.109,I
1091,0,3.513,0.311,I
1092,0.757,1.906,0.598,I
1093,1,2.988,0.975,I
1094,0.976,1.222,0.148,I
1095,0,1.765,0.355,I
1096,0.207,0.95,0,I
1097,0,0.78,0,I
1098,0.97,0.883,0,I
1099,0.082,0.919,0,I
1100,0.233,3.442,0,I
1101,0,1.839,0,I
1102,0.147,1.165,0,I
1103,0.563,1.588,0.999,I
1104,0.391,2.475,0.86,I
1105,0.286,3.125,0.999,I
1106,0.319,1.332,0.999,I
1107,0.395,0.915,1,I
1108,0,2.357,0,I
1109,0,2.146,0,I
1110,0,2.285,0,I
1111,0,1.975,0,I
1112,0,2.1,0,I
1113,0.267,1.776,0,I
1114,0.252,2.308,0,I
1115,0.758,2.261,0,I
1116,0.757,2.03,0,I
1117,0,2.692,0,I
1118,0,2.518,0,I
1119,0.144,2.742,0,I
1120,0,1.272,0,I
1121,1,1.229,0,I
1122,0.179,1.596,0,I
1123,0,1.273,0,I
1124,0.296,1.651,0.245,I
1125,0,1.345,0,I
1126,0.29,1.788,0.012,I
1127,0.387,2.119,0.014,I
1128,0.901,2.009,0.062,I
1129,0,1.873,0.247,I
1130,0,1.708,0.295,I
1131,0.787,1.699,0.013,I
1132,1,1.613,0.076,I
1133,0,2.087,0.953,I
1134,0,1.853,0.619,I
1135,0.979,1.82,0,I
1136,0.151,1.337,0.238,I
1137,0.369,2.089,0.326,I
1138,0.021,2.163,0.926,I
1139,0.942,1.485,0.261,I
1140,0.855,2.131,0.948,I
1141,0,2.246,0.721,I
1142,0,2.266,0.767,I
1143,0,3.022,0.312,I
1144,0,2.585,0.06,I
1145,0,4.268,0.892,I
1146,0,2.028,0.775,I
1147,0,2.104,0.952,I
1148,0.722,2.45,0.999,I
1149,0,3.992,0.561,I
1150,0.765,5.728,0.999,I
1151,0,2.161,0.016,I
1152,0,1.109,0.129,I
1153,1,3.804,0.803,I
1154,0.387,2.445,1,I
1155,0,6.075,0.999,I
1156,0.825,2.03,0,I
1157,0.378,2.08,0,I
1158,0,1.939,0,I
1159,0.965,1.415,0,I
1160,1,2.154,0.162,I
1161,1,2.116,0.21,I
1162,0,2.205,0.008,I
1163,0.597,1.742,0,I
1164,1,1.674,0,I
1165,1,1.561,0,I
1166,0,2.276,0,I
1167,0,2.113,0,I
1168,0,2.782,0,I
1169,0.275,1.689,0,I
1170,0.655,1.592,0,I
1171,0.603,1.647,0,I
1172,0,2.156,0,I
1173,0,2.181,0,I
1174,1,1.863,0,I
1175,0,2.021,0,I
1176,0,1.697,0,I
1177,0,1.457,0,I
1178,0.452,1.682,0,I
1179,1,1.531,0,I
1180,0,1.326,0,I
1181,0,2.32,0,I
1182,0.817,1.207,0,I
1183,1,1.303,0.048,I
1184,0,2.291,0.177,I
1185,0.348,1.659,0.131,I
1186,0,2.89,0.156,I
1187,0.694,1.192,0.392,I
1188,0,1.755,0.587,I
1189,0,1.231,0.576,I
1190,0.435,0.975,0.131,I
1191,0.451,6.9,0.778,I
1192,0,3.119,1,I
1193,0.916,5.66,0.779,I
1194,0,5.68,0.94,I
1195,0.132,2.324,0.971,I
1196,0,1.364,0,I
1197,0.2,8.753,0.722,I
1198,0,1.839,0.103,I
1199,0.591,2.016,0.063,I
1200,0,6.831,0.89,I
1201,0,2.081,0.047,I
1202,0,1.314,0.036,I
1203,0.395,1.485,0.442,I
1204,1,1.569,0,I
1205,0,1.224,0,I
1206,0,1.339,0.212,I
1207,0.336,1.083,0.02,I
1208,0,1.497,0.045,I
1209,0,1.761,0.105,I
1210,1,2.051,0.008,I
1211,0,1.34,0,I
1212,0,1.915,0.011,I
1213,0.767,1.343,0,I
1214,0.26,1.595,0,I
1215,0.232,1.94,0,I
1216,0,1.929,0.007,I
1217,0,2.217,0,I
1218,0,1.737,0,I
1219,0.295,1.75,0,I
1220,0.438,1.923,0,I
1221,0,1.984,0,I
1222,0.229,2.102,0,I
1223,0.666,2.07,0,I
1224,0.281,1.907,0,I
1225,0,1.651,0,I
1226,0,2.297,0,I
1227,0,1.617,0,I
1228,0,1.689,0,I
1229,0,1.664,0,I
1230,0,2.219,0,I
1231,0,1.535,0,I
1232,0,1.852,0,I
1233,0,2.021,0,I
1234,0,2.111,0,I
1235,0,1.878,0,I
1236,0,1.9,0,I
1237,0,1.551,0,I
1238,0,2.242,0,I
1239,0.699,1.33,0,I
1240,0,1.428,0,I
1241,0,1.816,0,I
1242,0.984,1.413,0,I
1243,0,1.128,0,I
1244,0,1.579,0,I
1245,0.692,0.803,0,I
1246,0,1.919,0,I
1247,1,1.106,0,I
1248,0,1.24,0,I
1249,0,1.059,0,I
1250,1,0.892,0,I
1251,1,0.901,0,I
1252,0,1.117,0,I
1253,0,1.368,0.111,I
1254,0,1.361,0.142,I
1255,0,0.893,0.005,I
1256,0,1.777,0.035,I
1257,0.936,0.889,0,I
1258,0,0.959,0,I
1259,1,0.589,0,I
1260,0,0.925,0,I
1261,0.17,0.967,0,I
1262,1,0.649,0,I
1263,0,0.713,0.105,I
1264,0.48,1.055,0.087,I
1265,1,0.85,0.007,I
1266,0,0.868,0,I
1267,0.881,0.873,0,I
1268,0.369,1.363,0,I
1269,1,1.005,0,I
1270,0.64,1.292,0.173,I
1271,0,1.391,0.231,I
1272,1,1.17,0,I
1273,0,1.161,0,I
1274,0.248,1,0,I
1275,1,0.636,0,I
1276,0.091,0.68,0,I
1277,0.828,0.55,0,I
1278,0,1.009,0,I
1279,0.119,0.732,0,I
1280,0.087,1.748,0.923,I
1281,1,0.817,0.334,I
1282,0,1.085,0.072,I
1283,0.059,1.741,0.569,I
1284,0,1.444,0.149,I
1285,0.606,1.346,0,I
1286,0.182,2.185,0.481,I
1287,0.865,1.381,0.077,I
1288,0,1.894,0,I
1289,0.496,4.446,0.84,I
1290,0,1.621,1,I
1291,0.058,2.985,1,I
1292,0.185,5.216,0.857,I
1293,0.252,2.759,0.999,I
1294,0,0.949,0,I
1295,1,1.206,0.086,I
1296,0,1.351,0,I
1297,0,1.227,0,I
1298,0,3.79,0.49,I
1299,0,6.93,0.973,I
1300,1,3.418,1,I
1301,0,2.008,1,I
1302,0,1.477,0.059,I
1303,0,1.393,0,I
1304,0,1.244,0,I
1305,0,9.107,0.996,I
1306,0,2.967,0.244,I
1307,0.496,4.984,1,I
1308,0,2.179,0.999,I
1309,0.436,1.875,1,I
1310,0.91,2.624,0.999,I
1311,0,5.149,0.999,I
1312,0,11.15,0.999,I
1313,0,3.463,0.384,I
1314,0,2.995,0.29,I
1315,0,2.031,0,I
1316,0,2.405,0.125,I
1317,0.83,1.681,0.999,I
1318,0,2.95,0.999,I
1319,0,1.885,0.999,I
1320,0,2.039,0.854,I
1321,0.622,1.621,0.294,I
1322,0.441,1.038,0.321,I
1323,0.221,2.014,0.893,I
1324,0.788,1.703,0.808,I
1325,0.177,1.423,0.144,I
1326,0,1.846,0,I
1327,0,0.717,0.059,I
1328,0,1.517,0.441,I
1329,1,1.22,0,I
1330,0,1.102,0.206,I
1331,0,4.026,0.71,I
1332,0,7.461,0.908,I
1333,0,1.818,0.273,I
1334,0,0.835,0,I
1335,0,1.483,0.041,I
1336,0.844,1.787,0.174,I
1337,0.735,1.738,0.416,I
1338,0,1.806,0.067,I
1339,0,3.467,0.78,I
1340,0,5.498,0.999,I
1341,0,3.129,0.999,I
1342,0,2.429,1,I
1343,0,1.352,0.637,I
1344,0,1.973,0.197,I
1345,0.118,2.291,0.509,I
1346,1,2.43,0.516,I
1347,0,1.995,0.945,I
1348,0,1.854,0.957,I
1349,1,1.353,0.591,I
1350,0,2.242,0.471,I
1351,0,1.835,0.835,I
1352,0,2.024,0.149,I
1353,0,1.835,0.141,I
1354,0,1.855,0.144,I
1355,0,1.115,0,I
1356,0.278,0.836,0,I
1357,1,1.191,0,I
1358,0,1.089,0,I
1359,1,1.522,0,I
1360,0.8,1.9,0.385,I
1361,0.493,1.34,0,I
1362,0,0.939,0,I
1363,1,1.118,0.013,I
1364,0,1.488,0.14,I
1365,1,1.759,0.624,I
1366,0,3.516,0.865,I
1367,0,1.531,0,I
1368,0,2.178,0,I
1369,0,2.096,0.397,I
1370,0,2.207,0,I
1371,0,2.103,0.007,I
1372,0,2.96,0.318,I
1373,0,3.131,0.491,I
