"Cell habitat variables file for inSALMO, Clear Creek site ACID Glide",,,,
Generated 9/13/2012 by C. Pilkington,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
226,0,0.609,0,I
227,0,0.527,0,I
228,0,0.68,0,I
229,0,0.85,0,I
230,0.108,0.724,0,I
231,0.051,0.575,0,I
232,0.052,0.292,0,I
233,0.084,0.679,0,I
234,0.145,0.317,0,I
235,0.165,0.409,0,I
236,0,1.155,0,I
237,0,0.774,0,I
238,0,1.22,0,I
239,0,0.87,0,I
240,0,1.501,0,I
241,0,1.3,0.106,I
242,0,5.777,0.583,I
243,0,7.059,0.99,I
244,0,15.778,0.241,I
245,0,15.503,0.747,D
246,0,7.891,0.945,D
247,0,1.869,0.532,I
248,0,1.719,0.419,I
249,0,1.023,0,I
250,0,1.424,0.257,I
251,0,1.815,0,I
252,0.117,0.85,0,I
253,0,1.682,0,I
254,0.042,0.942,0,I
255,0,1.048,0,I
256,0,1.354,0,I
257,0.089,0.439,0,I
258,0,0.33,0,I
259,0.891,0.298,0,I
260,1,0.276,0,I
261,0.976,1.072,0,I
262,0,1.258,0,I
263,0.709,0.318,0.029,I
264,1,0.359,0,I
265,0.406,0.351,0,I
266,0,0.584,0,I
267,0.878,0.494,0,I
268,0.956,0.408,0,I
269,0,0.392,0,I
270,1,1.353,0,I
271,0,1.47,0,I
272,0.457,0.296,0,I
273,0.094,0.242,0,I
274,0.486,1.522,0,I
275,0,0.876,0,I
276,0.384,0.295,0,I
277,0.929,0.258,0,I
278,0.261,0.363,0,I
279,0.858,0.228,0,I
280,0.316,0.215,0,I
281,0.423,0.264,0,I
282,0.683,0.702,0,I
283,0,0.395,0,I
284,0.601,0.119,0,I
285,0.06,0.294,0,I
286,0.104,1.928,0,I
287,1,0.342,0,I
288,1,1.401,0,I
289,0,0.379,0,I
290,0,1.686,0,I
291,0,0.229,0,I
292,1,3.278,0,I
293,0,3.439,0,I
294,1,0.388,0,I
295,0,0.31,0,I
296,0.301,2.821,0,I
297,0,3.455,0,I
298,0.938,0.714,0,I
299,0.242,0.681,0,I
300,0.117,1.154,0,I
301,1,0.688,0,I
302,0,0.784,0,I
303,0.719,5.514,0,I
304,0,4.061,0,I
305,0.434,0.261,0,I
306,0.036,0.558,0,I
307,1,0.413,0,I
308,0.418,0.857,0,I
309,0,0.725,0,I
310,0,0.624,0,I
311,0.242,0.617,0,I
312,0.014,0.326,0,I
313,0.231,0.54,0.028,I
314,0.242,0.483,0.198,I
315,0,2.052,0.472,I
316,0,1.714,0.903,I
317,0.689,1.006,0.498,I
318,0.676,5.848,0.999,I
319,0.073,5.709,1,I
320,0,0.773,0.44,I
321,0,0.973,0.19,I
322,0,0.527,0,I
323,0,0.657,0,I
324,0.242,0.519,0,I
325,0.248,0.497,0,I
326,0.086,0.345,0,I
327,0.339,0.626,0,I
328,0.426,0.752,0,I
329,0,0.601,0,I
330,0.528,0.942,0,I
331,0,0.833,0,I
332,0.075,0.526,0,I
333,0,0.654,0,I
334,0,0.774,0,I
335,0.477,0.669,0,I
336,0.189,0.809,0,I
337,0.221,0.646,0,I
338,0.105,0.559,0,I
339,0.093,0.693,0,I
340,0,0.922,0.057,I
341,0,0.731,0.098,I
342,0,0.516,0,I
343,0,0.461,0,I
344,0,0.508,0,I
345,0,0.954,0,I
346,0.235,0.894,0,I
347,0.377,0.953,0,I
348,0,0.778,0,I
349,0,0.634,0,I
350,0,0.747,0,I
351,0,1.028,0,I
352,0,0.669,0,I
353,0,0.764,0,I
354,0,0.913,0,I
355,0,0.931,0,I
356,0,0.683,0,I
357,0,0.723,0,I
358,0,1.075,0,I
359,0.057,0.944,0,I
360,0,0.593,0,I
361,0,3.137,0,I
362,0,6.205,0,I
363,0,10.884,0,I
364,0,7.309,0,I
365,0,1.163,0,I
366,0,2.279,0,I
367,0,0.31,0,I
368,0.239,0.648,0,I
369,0.042,0.62,0,I
370,0.015,0.625,0,I
371,0.421,0.649,0,I
372,0.059,0.483,0,I
373,0,0.415,0,I
374,0,0.612,0,I
375,0.244,0.912,0,I
376,0.202,0.82,0,I
377,0.592,0.695,0,I
378,0,0.419,0,I
379,0.182,0.73,0,I
380,0.183,0.888,0,I
381,0.707,0.75,0,I
382,0,0.484,0,I
383,0,1.212,0,I
384,0.158,0.533,0,I
