"Cell data file for inSALMO, Lower Gorge site",,,,
"Developed from Clear Creek River2D data, obtained from JWhite 11/30/2012",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
211,0,33.672,0.022,I
212,0.183,32.386,0,I
213,0,33.318,0.029,I
214,0,25.876,0.526,I
215,0.283,26.507,0.112,I
216,0.284,21.483,0.056,I
217,0.16,19.49,0,I
218,0.482,18.416,0,I
219,0.39,19.305,0.785,I
220,0.093,25.572,0.886,I
221,0.452,14.504,0.983,I
222,0.157,9.923,0.977,I
223,0.075,4.512,0.939,I
224,0.232,5.144,0.453,I
225,0.145,7.233,0.038,I
226,0.314,7.81,0.147,I
227,0.454,5.414,0,I
228,0.215,2.558,0,I
229,0,3.255,0,I
230,0.284,2.85,0.496,I
231,0.916,3.128,0.999,I
232,0,5.827,0.218,I
233,0.749,2.503,0,I
234,0.136,5.908,0.797,I
235,0,11.324,0.973,I
236,0.244,15.612,1,I
237,0.451,17.818,0.999,I
238,0.362,19.254,0.955,I
239,0.14,15.059,0,I
240,0.183,11.576,0,I
241,0,17.057,0.187,I
242,0.077,10.559,0.37,I
243,0.097,5.702,0,I
244,0.273,3.887,0,I
245,0.146,7.133,0.076,I
246,0,8.984,0.959,I
247,0.284,15.828,0.719,I
248,0,6.653,0.013,I
249,0.424,6.024,0.3,I
250,0,8.62,0.672,I
251,0,14.739,0.999,I
252,0.084,20.777,1,I
253,0,15.971,0.999,I
254,0.472,13.19,0.835,I
255,0.112,10.19,0.208,I
256,0.21,6.568,0.239,I
257,0.27,0.684,0,I
258,0.604,3.048,0,I
259,1,4.384,0,I
260,0.717,5.415,0,I
261,0.541,7.616,0,I
262,0.093,11.051,0,I
263,0,17.88,0.397,I
264,0.156,8.203,0,I
265,0.603,8.691,0,I
266,0.073,2.23,0,I
267,0.275,23.687,0.997,I
268,0.274,14.031,1,I
269,0.244,7.06,0.994,I
270,0.557,14.751,0.352,I
271,0.402,14.898,0.725,I
272,0.433,17.263,0.583,I
273,0.318,20.281,0.911,I
274,0.3,27.453,0.999,I
275,0.142,27.149,0.671,I
276,0.575,31.68,0.999,I
277,0.318,21.878,0.25,I
278,0.251,18.367,0,I
279,0.322,9.806,0,I
