"inSALMO cell data file, Clear Creek site Upper Isolation",,,,
Developed from USFWS data; from J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
219,0.301,23.921,0.989,I
220,0,23.912,0.828,I
221,0.113,19.103,1,I
222,0.158,21.137,0.263,I
223,0,6.228,0.925,I
224,0.146,12.792,0.242,I
225,0,6.069,0.999,I
226,0.179,4.743,0.842,I
227,0.099,8.726,0.485,I
228,0.309,8.755,0.182,I
229,0,9.181,0.692,I
230,0,10.862,1,I
231,0,12.112,0.136,I
232,0.169,8.947,0.32,I
233,0,7.356,0.999,I
234,0,8.947,0.727,I
235,0.193,2.978,0.735,I
236,0.075,2.943,0.695,I
237,0.253,0.616,0.139,I
238,0.104,0.801,0.779,I
239,0.135,4.495,0.966,I
240,0,8.356,0.623,I
241,0,7.551,0.915,I
242,0,10.251,0.051,I
243,0,2.164,0.396,I
244,0,4.228,0.737,I
245,0,4.097,0.551,I
246,0.272,1.277,0.986,I
247,0.15,1.074,0.392,I
248,0.033,4.153,0.907,I
249,0,11.088,1,I
250,0,7.727,1,I
251,0.122,3.882,0.684,I
252,0,4.98,0.998,I
253,0,15.439,0.999,I
254,0.596,1.001,0.672,I
255,0.175,1.688,0.777,I
256,0,7.478,1,I
257,0,19.215,0.996,I
258,0.014,22.906,0.999,I
259,0.077,5.702,0.999,I
260,0.046,11.044,0.855,I
261,0.099,2.478,1,I
262,0,6.282,0.443,I
263,0,10.141,0.993,I
264,0,13.38,1,I
265,0,10.846,0.985,I
266,0.141,6.001,1,I
267,0.301,3.142,0.634,I
268,1,1.773,0.998,I
269,0.738,2.775,0.94,I
270,0.16,2.933,0.275,I
271,0,6.477,0.791,I
272,0.13,1.087,0.236,I
273,0,10.174,1,I
274,0,7.137,0.999,I
275,0.09,8.168,0.906,I
276,0,5.867,0.973,I
277,0.203,16.992,0.376,I
278,0,25.848,0.805,I
279,0,21.301,0.521,I
280,0,21.89,0.494,I
281,0,30.855,0.261,I
282,0,11.098,0.986,I
283,0,13.854,0.943,I
284,0.204,30.183,0.871,I
285,0.054,0.566,0.081,I
286,0.398,0.993,0.158,I
287,0,5.33,1,I
288,0.265,1.861,0.793,I
289,0,4.838,0.999,I
290,0,10.412,1,I
291,0.112,18.927,0.979,I
292,0,7.07,0.987,I
293,0.156,1.349,0,I
294,0.201,3.946,0.391,I
295,0.051,4.906,0.01,I
296,0,9.952,0.195,I
297,0.26,28.754,0.842,I
298,0,20.975,0.637,I
299,0,29.957,1,I
300,0,28.574,0.67,I
301,0,22.255,1,I
302,0,15.205,0.991,I
303,0,2.408,0.92,I
304,0,1.095,1,I
305,0,5.001,0.603,I
306,0,12.622,0.992,I
307,0.147,14.947,0.999,I
308,0,5.273,0.814,I
309,0,3.562,0.915,I
310,0,1.072,0.705,I
311,0.406,1.031,0.606,I
312,0.29,0.87,0.555,I
313,0.492,0.466,0.32,I
314,0.119,0.375,0.048,I
315,0.012,0.424,0.176,I
316,0.207,0.845,0.402,I
317,0.241,0.771,0.54,I
318,0.353,0.65,0.01,I
319,0.093,0.781,0.558,I
320,0.364,0.555,0.01,I
321,0.272,1.545,0.431,I
322,0.296,6.273,0.918,I
323,0.202,8.796,0.439,I
324,0.385,5.232,0.771,I
325,0.06,9.526,0.587,I
326,0.266,8.617,0.934,I
327,0.048,1.872,0.05,I
328,0,0.71,0,I
329,0,0.981,0,I
330,0.08,2.856,0,I
331,0,4.866,0,I
332,0,14.295,0.39,I
333,0.372,3.696,0.81,I
334,0,8.196,0.822,I
335,0,5.247,0.543,I
336,0,10.718,0.647,I
337,0,13.857,1,I
338,0,18.463,0.446,I
339,0,23.498,0.744,I
340,0,10.27,0,I
341,0,22.885,0.4,I
342,0,20.224,0.746,I
343,0,20.636,0.121,I
344,0,27.429,0.301,I
345,0,31.498,0.983,I
346,0,29.914,0.148,I
347,0,17.233,0,I
348,0,7.657,0,I
349,0,3.424,0,I
350,0,7.905,0,I
351,0,12.224,0,I
352,0,4.297,0,I
353,0,14.065,0,I
354,0,20.579,0.28,I
355,0,36.102,0.665,I
356,0,34.226,0.92,I
357,0,27.145,0.667,I
358,0,28.246,0.785,I
359,0,20.776,0.012,I
360,0,20.316,0.888,I
361,0,9.896,0,I
362,0,14.335,0,I
363,0,4.002,0,I
364,0,10.689,0,I
365,0,4.349,0,I
366,0.047,1.423,0,I
367,0,12.508,0.437,I
368,0,7.993,0,I
369,0,6.629,0,I
370,0,3.624,0,I
371,0.014,6.72,0,I
372,0,18.095,0.557,I
373,0,27.186,0.663,I
374,0.07,5.598,0.84,I
375,0,34.297,0.667,I
376,0,15.972,0.838,I
377,0.118,23.977,0.666,I
378,0,8.759,0,I
379,0,17.422,0.053,I
380,0.178,3.409,0,I
381,0,9.56,0,I
