Hydraulic data input file for inSTREAM 4.5 																																														
Created from Clear Creek Reach 3c Data 14 OCT 2010 by D.S. Montoya																																														
flows	1.42		2.12		2.83		3.54		4.25		4.96		5.66		6.37		7.08		7.79		8.5		9.91		11.33		12.74		14.16		15.57		16.99		18.41		19.82		21.24		22.65		24.07		25.49	
poly-id	depth@050	veloc@050	depth@075	veloc@075	depth@100	veloc@100	depth@125	veloc@125	depth@150	veloc@150	depth@175	veloc@175	depth@200	veloc@200	depth@225	veloc@225	depth@250	veloc@250	depth@275	veloc@275	depth@300	veloc@300	depth@350	veloc@350	depth@400	veloc@400	depth@450	veloc@450	depth@500	veloc@500	depth@550	veloc@550	depth@600	veloc@600	depth@650	veloc@650	depth@700	veloc@700	depth@750	veloc@750	depth@800	veloc@800	depth@850	veloc@850	depth@900	veloc@900
11	-0.0182	0.1069	0.0572	0.232	0.1051	0.3412	0.1404	0.4382	0.1693	0.5221	0.2024	0.6281	0.2284	0.7358	0.2536	0.8204	0.2814	0.9038	0.3051	0.9793	0.3288	1.047	0.3703	1.1593	0.4137	1.2547	0.4608	1.3465	0.4991	1.43	0.5382	1.5109	0.5676	1.5861	0.6075	1.6454	0.6382	1.704	0.6689	1.7568	0.6999	1.8119	0.7309	1.855	0.7599	1.9048
12	-0.2576	0.0006	-0.1442	0.039	-0.0912	0.0055	-0.0419	0.0099	0.0079	0.0165	0.0578	0.039	0.0878	0.0519	0.1285	0.0774	0.168	0.0938	0.1977	0.1039	0.2275	0.1117	0.2778	0.1177	0.3277	0.1027	0.378	0.1164	0.4178	0.1135	0.4584	0.1105	0.4884	0.1005	0.5286	0.1038	0.5587	0.1096	0.5888	0.1132	0.6189	0.1176	0.6489	0.1214	0.6779	0.0608
13	-0.2974	0	-0.1907	0.0006	-0.1401	0.0038	-0.0977	0.0083	-0.055	0.0159	-0.0068	0.0302	0.0229	0.0607	0.0636	0.1047	0.1035	0.1354	0.1335	0.1491	0.1633	0.1561	0.2135	0.1476	0.2629	0.1244	0.3134	0.0919	0.3528	0.0758	0.3932	0.0623	0.4229	0.0551	0.4631	0.0609	0.4936	0.074	0.524	0.0886	0.5542	0.1035	0.5844	0.1187	0.6131	0.0861
14	-0.3357	0	-0.2354	0	-0.1765	0.0001	-0.1411	0.0021	-0.1156	0.0133	-0.0813	0.0462	-0.0498	0.1108	-0.0121	0.151	0.0255	0.1579	0.0539	0.1557	0.0817	0.1463	0.1284	0.1235	0.1755	0.0903	0.2249	0.0523	0.2639	0.0453	0.3043	0.0419	0.3341	0.0441	0.3743	0.051	0.4048	0.059	0.4352	0.0686	0.4655	0.0787	0.4958	0.0894	0.5243	0.0863
15	-0.3702	0	-0.28	0	-0.2249	0	-0.1896	0	-0.1646	0.0017	-0.1363	0.0198	-0.1099	0.043	-0.084	0.0593	-0.056	0.0694	-0.0322	0.0772	-0.0081	0.0819	0.0342	0.0835	0.0788	0.0782	0.1272	0.0738	0.1664	0.0803	0.2067	0.0967	0.2365	0.1161	0.2767	0.1368	0.3071	0.1567	0.3376	0.1759	0.368	0.1977	0.3982	0.2192	0.4264	0.2423
16	-0.3946	0	-0.3276	0	-0.2649	0.0001	-0.2082	0.0066	-0.1693	0.0181	-0.1338	0.0411	-0.1047	0.0801	-0.0815	0.1122	-0.0556	0.1448	-0.0316	0.1743	-0.0084	0.2047	0.0335	0.2805	0.0735	0.343	0.1157	0.4195	0.1517	0.4945	0.1882	0.5603	0.2171	0.6155	0.2491	0.6696	0.2764	0.7159	0.3033	0.7549	0.3312	0.7966	0.3574	0.8364	0.384	0.8846
17	-0.4107	0	-0.3329	0	-0.2784	0	-0.2354	0.0009	-0.2022	0.0045	-0.1638	0.0137	-0.1327	0.0378	-0.1078	0.0626	-0.0823	0.0857	-0.0608	0.1199	-0.0405	0.1573	-0.0024	0.2336	0.0376	0.3156	0.0783	0.4017	0.1135	0.4765	0.1497	0.5501	0.1768	0.6128	0.2115	0.6745	0.239	0.7267	0.2667	0.7743	0.295	0.8219	0.3233	0.8623	0.3505	0.903
18	-0.0629	0.0184	0.0035	0.0512	0.0636	0.1192	0.1207	0.2344	0.1629	0.3516	0.201	0.4638	0.2312	0.5549	0.2555	0.6229	0.2826	0.693	0.3077	0.7572	0.3319	0.8176	0.3752	0.9212	0.4165	1.0138	0.4598	1.104	0.4969	1.1848	0.5341	1.2692	0.5642	1.3408	0.598	1.4044	0.6269	1.4608	0.6553	1.5139	0.685	1.5688	0.7131	1.6155	0.7416	1.6653
19	-0.4518	0.0027	-0.3743	0.0072	-0.3132	0.014	-0.2585	0.0253	-0.2095	0.0378	-0.1581	0.0572	-0.1147	0.0872	-0.0791	0.1264	-0.0417	0.1759	-0.0093	0.2207	0.0211	0.2504	0.074	0.2927	0.1227	0.2953	0.171	0.2988	0.2117	0.2993	0.2521	0.2932	0.2856	0.2972	0.3226	0.3066	0.355	0.3193	0.3869	0.3329	0.4201	0.3484	0.4512	0.3626	0.4832	0.3786
20	0.3676	0.3998	0.4447	0.5099	0.5056	0.6123	0.5592	0.7162	0.6089	0.7535	0.66	0.7757	0.7023	0.8112	0.7363	0.8476	0.7721	0.8945	0.8038	0.9395	0.8333	0.9717	0.8843	1.0137	0.9321	1.0405	0.9805	1.0644	1.0211	1.0841	1.0609	1.1018	1.0942	1.1288	1.1318	1.1554	1.1648	1.1847	1.1974	1.2133	1.2313	1.2438	1.2632	1.269	1.2956	1.2959
